#,mu_tipo,mu_intensita,b_tipo_1,b_intensita_1,b_tipo_2,b_Intensita_2,sigma_tipo,sigma_intensita,forzante_tipo,forzante_intensita,L1_bc,L1_bc_fun,L1_bc_intensita,L2_bc,L2_bc_fun,L2_bc_intensita,L3_bc,L3_bc_fun,L3_bc_intensita,L4_bc,L4_bc_fun,L4_bc_intensita,toll,nvbx,alpha,beta,L13_size,L24_size,n_horiz_begin,n_vert_begin,h_min
11,Costante,1.00E-01,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.15,500000,1.00E-01,1,1,1,100,100,5.00E-04
12,Costante,1.00E-01,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.2,500000,1.00E-01,1,1,1,100,100,5.00E-04
13,Costante,1.00E-01,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.25,500000,1.00E-01,1,1,1,100,100,5.00E-04
14,Costante,1.00E-01,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,1.00E-01,1,1,1,100,100,5.00E-04
15,Costante,1.00E-01,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,1.00E-01,1,1,1,100,100,5.00E-04
16,Costante,1.00E-01,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.15,500000,1.00E-01,1,1,1,100,100,5.00E-04
17,Costante,1.00E-01,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.2,500000,1.00E-01,1,1,1,100,100,5.00E-04
18,Costante,1.00E-01,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.25,500000,1.00E-01,1,1,1,100,100,5.00E-04
19,Costante,1.00E-01,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,1.00E-01,1,1,1,100,100,5.00E-04
20,Costante,1.00E-01,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,1.00E-01,1,1,1,100,100,5.00E-04
21,Costante,1.00E-01,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.15,500000,1.00E-01,1,1,1,100,100,5.00E-04
22,Costante,1.00E-01,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.2,500000,1.00E-01,1,1,1,100,100,5.00E-04
23,Costante,1.00E-01,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.25,500000,1.00E-01,1,1,1,100,100,5.00E-04
24,Costante,1.00E-01,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,1.00E-01,1,1,1,100,100,5.00E-04
25,Costante,1.00E-01,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,1.00E-01,1,1,1,100,100,5.00E-04
26,Costante,1.00E-01,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.15,500000,1.00E-01,1,1,1,100,100,5.00E-04
27,Costante,1.00E-01,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.2,500000,1.00E-01,1,1,1,100,100,5.00E-04
28,Costante,1.00E-01,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.25,500000,1.00E-01,1,1,1,100,100,5.00E-04
29,Costante,1.00E-01,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,1.00E-01,1,1,1,100,100,5.00E-04
30,Costante,1.00E-01,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,1.00E-01,1,1,1,100,100,5.00E-04
31,Costante,1.00E-01,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.15,500000,1.00E-01,1,1,1,100,100,5.00E-04
32,Costante,1.00E-01,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.2,500000,1.00E-01,1,1,1,100,100,5.00E-04
33,Costante,1.00E-01,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.25,500000,1.00E-01,1,1,1,100,100,5.00E-04
34,Costante,1.00E-01,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,1.00E-01,1,1,1,100,100,5.00E-04
35,Costante,1.00E-01,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,1.00E-01,1,1,1,100,100,5.00E-04
36,Costante,1.00E-01,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.15,500000,1.00E-01,1,1,1,100,100,5.00E-04
37,Costante,1.00E-01,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.2,500000,1.00E-01,1,1,1,100,100,5.00E-04
38,Costante,1.00E-01,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.25,500000,1.00E-01,1,1,1,100,100,5.00E-04
39,Costante,1.00E-01,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,1.00E-01,1,1,1,100,100,5.00E-04
40,Costante,1.00E-01,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,1.00E-01,1,1,1,100,100,5.00E-04
41,Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.15,500000,5.00E-02,1,1,1,100,100,5.00E-04
42,Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,5.00E-02,1,1,1,100,100,5.00E-04
43,Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,5.00E-02,1,1,1,100,100,5.00E-04
44,Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.75,500000,5.00E-02,1,1,1,100,100,5.00E-04
45,Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,1,500000,5.00E-02,1,1,1,100,100,5.00E-04
46,Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,5.00E-02,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,5.00E-02,1,1,1,100,100,5.00E-04
47,Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,5.00E-02,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.4,500000,5.00E-02,1,1,1,100,100,5.00E-04
48,Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,5.00E-02,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,5.00E-02,1,1,1,100,100,5.00E-04
49,Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,5.00E-02,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.75,500000,5.00E-02,1,1,1,100,100,5.00E-04
50,Costante,5.00E-02,Costante,1.00E+00,Costante,0.00E+00,Costante,5.00E-02,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,1,500000,5.00E-02,1,1,1,100,100,5.00E-04
51,Costante,5.00E-02,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,5.00E-02,1,1,1,100,100,5.00E-04
52,Costante,5.00E-02,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.4,500000,5.00E-02,1,1,1,100,100,5.00E-04
53,Costante,5.00E-02,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,5.00E-02,1,1,1,100,100,5.00E-04
54,Costante,5.00E-02,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.75,500000,5.00E-02,1,1,1,100,100,5.00E-04
55,Costante,5.00E-02,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,1,500000,5.00E-02,1,1,1,100,100,5.00E-04
56,Costante,5.00E-02,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,5.00E-02,1,1,1,100,100,5.00E-04
57,Costante,5.00E-02,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.4,500000,5.00E-02,1,1,1,100,100,5.00E-04
58,Costante,5.00E-02,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,5.00E-02,1,1,1,100,100,5.00E-04
59,Costante,5.00E-02,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.75,500000,5.00E-02,1,1,1,100,100,5.00E-04
60,Costante,5.00E-02,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,1,500000,5.00E-02,1,1,1,100,100,5.00E-04
61,Costante,5.00E-02,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,5.00E-02,1,1,1,100,100,5.00E-04
62,Costante,5.00E-02,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.4,500000,5.00E-02,1,1,1,100,100,5.00E-04
63,Costante,5.00E-02,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,5.00E-02,1,1,1,100,100,5.00E-04
64,Costante,5.00E-02,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.75,500000,5.00E-02,1,1,1,100,100,5.00E-04
65,Costante,5.00E-02,Costante,1.00E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,1,500000,5.00E-02,1,1,1,100,100,5.00E-04
66,Costante,5.00E-02,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,5.00E-02,1,1,1,100,100,5.00E-04
67,Costante,5.00E-02,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.4,500000,5.00E-02,1,1,1,100,100,5.00E-04
68,Costante,5.00E-02,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,5.00E-02,1,1,1,100,100,5.00E-04
69,Costante,5.00E-02,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.75,500000,5.00E-02,1,1,1,100,100,5.00E-04
70,Costante,5.00E-02,Costante,7.07E-01,Costante,-7.07E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,1,500000,5.00E-02,1,1,1,100,100,5.00E-04
71,Costante,5.00E-02,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,5.00E-02,1,1,1,100,100,5.00E-04
72,Costante,5.00E-02,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.4,500000,5.00E-02,1,1,1,100,100,5.00E-04
73,Costante,5.00E-02,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,5.00E-02,1,1,1,100,100,5.00E-04
74,Costante,5.00E-02,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.75,500000,5.00E-02,1,1,1,100,100,5.00E-04
75,Costante,5.00E-02,Costante,5.00E-01,Costante,8.66E-01,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,1,500000,5.00E-02,1,1,1,100,100,5.00E-04
76,Costante,5.00E-02,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,5.00E-02,1,1,1,100,100,5.00E-04
77,Costante,5.00E-02,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.4,500000,5.00E-02,1,1,1,100,100,5.00E-04
78,Costante,5.00E-02,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,5.00E-02,1,1,1,100,100,5.00E-04
79,Costante,5.00E-02,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.75,500000,5.00E-02,1,1,1,100,100,5.00E-04
80,Costante,5.00E-02,Costante,1.73E+00,Costante,1.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,1,500000,5.00E-02,1,1,1,100,100,5.00E-04
81,Costante,5.00E-03,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,5.00E-03,1,1,1,100,100,5.00E-04
82,Costante,5.00E-03,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.4,500000,5.00E-03,1,1,1,100,100,5.00E-04
83,Costante,5.00E-03,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,5.00E-03,1,1,1,100,100,5.00E-04
84,Costante,5.00E-03,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.75,500000,5.00E-03,1,1,1,100,100,5.00E-04
85,Costante,5.00E-03,Costante,1.00E+00,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,1,500000,5.00E-03,1,1,1,100,100,5.00E-04
86,Costante,5.00E-03,Costante,1.00E+00,Costante,0.00E+00,Costante,5.00E-03,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,5.00E-03,1,1,1,100,100,5.00E-04
87,Costante,5.00E-03,Costante,1.00E+00,Costante,0.00E+00,Costante,5.00E-03,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.4,500000,5.00E-03,1,1,1,100,100,5.00E-04
88,Costante,5.00E-03,Costante,1.00E+00,Costante,0.00E+00,Costante,5.00E-03,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,5.00E-03,1,1,1,100,100,5.00E-04
89,Costante,5.00E-03,Costante,1.00E+00,Costante,0.00E+00,Costante,5.00E-03,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.75,500000,5.00E-03,1,1,1,100,100,5.00E-04
90,Costante,5.00E-03,Costante,1.00E+00,Costante,0.00E+00,Costante,5.00E-03,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,1,500000,5.00E-03,1,1,1,100,100,5.00E-04
91,Costante,5.00E-03,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,5.00E-03,1,1,1,100,100,5.00E-04
92,Costante,5.00E-03,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.5,500000,5.00E-03,1,1,1,100,100,5.00E-04
93,Costante,5.00E-03,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,1,500000,5.00E-03,1,1,1,100,100,5.00E-04
94,Costante,5.00E-03,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,2.5,500000,5.00E-03,1,1,1,100,100,5.00E-04
95,Costante,5.00E-03,Costante,1.00E+01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,5,500000,5.00E-03,1,1,1,100,100,5.00E-04
96,Costante,5.00E-03,Costante,1.00E-01,Costante,0.00E+00,Costante,0.00E+00,Funzione 8,1.000000,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,Dirichlet,Costante,0,0.3,500000,5.00E-03,1,1,1,100,100,5.00E-04
